feature_name,importance,feature_family
cat__DOLocationID_94,0.0006295643,DOLocationID
cat__DOLocationID_222,0.0006272295,DOLocationID
cat__PULocationID_50,0.0006230293,PULocationID
cat__DOLocationID_211,0.00061763055,DOLocationID
cat__PULocationID_202,0.0006043957,PULocationID
cat__PULocationID_32,0.000604098,PULocationID
cat__DOLocationID_47,0.0005990322,DOLocationID
cat__PULocationID_178,0.0005986407,PULocationID
cat__DOLocationID_112,0.0005877577,DOLocationID
cat__PULocationID_236,0.0005767202,PULocationID
cat__payment_type_4,0.00057430274,payment_type
cat__PULocationID_45,0.00057344517,PULocationID
cat__PULocationID_112,0.00056728604,PULocationID
cat__DOLocationID_6,0.00055778545,DOLocationID
cat__DOLocationID_66,0.0005572185,DOLocationID
cat__PULocationID_152,0.00055606273,PULocationID
cat__DOLocationID_53,0.00055034657,DOLocationID
cat__payment_type_2,0.00054775714,payment_type
cat__PULocationID_121,0.00054488576,PULocationID
cat__PULocationID_260,0.0005223112,PULocationID
cat__DOLocationID_264,0.0005179755,DOLocationID
cat__DOLocationID_147,0.0005056906,DOLocationID
cat__PULocationID_168,0.00049913075,PULocationID
cat__DOLocationID_40,0.000496816,DOLocationID
cat__DOLocationID_102,0.00049576856,DOLocationID
cat__DOLocationID_128,0.0004947476,DOLocationID
cat__PULocationID_246,0.00047486206,PULocationID
cat__PULocationID_228,0.0004619332,PULocationID
cat__DOLocationID_134,0.00043635975,DOLocationID
cat__PULocationID_198,0.00042751498,PULocationID
cat__PULocationID_165,0.0004252419,PULocationID
cat__DOLocationID_52,0.00041171644,DOLocationID
cat__PULocationID_82,0.00040286753,PULocationID
cat__PULocationID_148,0.00039618128,PULocationID
cat__DOLocationID_63,0.00038986845,DOLocationID
cat__DOLocationID_4,0.00038491047,DOLocationID
cat__DOLocationID_133,0.00037093402,DOLocationID
cat__PULocationID_11,0.00036934303,PULocationID
cat__PULocationID_79,0.00036024576,PULocationID
cat__PULocationID_144,0.00028891256,PULocationID
cat__PULocationID_257,0.00027631802,PULocationID
cat__PULocationID_264,0.00027146377,PULocationID
cat__PULocationID_34,0.00026180147,PULocationID
cat__DOLocationID_119,0.00026101392,DOLocationID
cat__DOLocationID_202,0.0002609156,DOLocationID
cat__DOLocationID_83,0.00021989604,DOLocationID
cat__PULocationID_190,0.00021051316,PULocationID
cat__DOLocationID_196,0.00020254847,DOLocationID
cat__PULocationID_53,0.00020151917,PULocationID
cat__PULocationID_167,0.00019123653,PULocationID
cat__DOLocationID_257,0.00016713885,DOLocationID
